"","Element ID","/Layer_1/Native&Riparian Veg. Percolation (-)(AF/year)"
"525",525,48.7433352686412
"526",526,176.216244768211
"527",527,233.855735154055
"528",528,261.947447826056
"529",529,41.6047049745665
"530",530,323.040901382253
"531",531,314.679074214478
"532",532,507.968436133797
"533",533,422.642292228371
"534",534,458.192470155468
"535",535,513.522066649133
"536",536,148.27167737702
"537",537,278.749535988685
"538",538,452.04054612874
"539",539,615.121951278107
"540",540,637.458771332967
"541",541,265.382031562307
"542",542,197.658114759413
"543",543,91.8648002455517
"544",544,303.38887329485
"545",545,237.941911892839
"546",546,291.350375084013
"547",547,158.285148777452
"548",548,315.718140425488
"549",549,349.564309135959
"550",550,245.490338722405
"551",551,513.050343450345
"552",552,339.272156300112
"553",553,132.802573268263
"554",554,197.00103084997
"555",555,175.196587271129
"556",556,289.145127183097
"557",557,242.968506221086
"558",558,310.846729037953
"559",559,147.566073696997
"560",560,295.387386399179
"561",561,338.834277329014
"562",562,496.985029752947
"563",563,589.223532407763
"564",564,480.357032390119
"565",565,369.630449859207
"566",566,472.209040257676
"567",567,550.870748115422
"568",568,634.85917771749
"569",569,497.849625587384
"570",570,189.83913433441
"571",571,318.148834551233
"572",572,406.622014425437
"573",573,564.20203417395
"574",574,354.322694830844
"575",575,395.637263144766
"576",576,417.700581353657
"577",577,272.398934380922
"578",578,47.886325168073
"579",579,35.9276099473784
"580",580,32.215294030286
"581",581,49.121211553769
"582",582,37.3253733596054
"583",583,43.4404488723573
"584",584,0.28835540873759
"585",585,73.8821700135244
"586",586,141.297829122556
"587",587,250.929248512978
"588",588,265.348190815076
"589",589,223.477586143609
"590",590,257.168569867371
"591",591,165.045347901642
"592",592,70.6886995508081
"593",593,102.93402574431
"594",594,63.0471808778265
"595",595,248.207315023219
"596",596,131.97496920255
"597",597,235.302526181442
"598",598,170.769102627646
"599",599,220.722003533655
"600",600,176.551220023016
"601",601,55.910563870281
"602",602,22.1035123782072
"603",603,49.2164330215376
"604",604,51.1505508956372
"605",605,97.9499144952458
"606",606,37.7373466435711
"607",607,233.641281404715
"608",608,185.717465156976
"609",609,460.499646906455
"610",610,305.467696070947
"611",611,455.654954809673
"612",612,254.862523853476
"613",613,380.852390829813
"614",614,250.158845142853
"615",615,168.740505269174
"616",616,116.892381504398
"617",617,272.232001279762
"618",618,184.51176834792
"619",619,114.507953296218
"620",620,317.796638868344
"621",621,383.36244756849
"622",622,317.198434779913
"623",623,215.827339212018
"624",624,209.681075214314
"625",625,263.699525887534
"626",626,240.610829994085
"627",627,414.718459551113
"628",628,417.417870945154
"629",629,116.940387921519
"630",630,237.913475134463
"631",631,322.897091007588
"632",632,313.289200939805
"633",633,318.728204906591
"634",634,425.18211502245
"635",635,410.393290929184
"636",636,316.024580303459
"637",637,437.011791781324
"638",638,277.399743766097
"639",639,0
"640",640,389.505432520256
"641",641,0
"642",642,433.098337286092
"643",643,168.539020064709
"644",644,34.5469239243563
"645",645,316.434658511509
"646",646,43.0633126851269
"647",647,28.9643375380735
"648",648,0.893594897743438
"649",649,7.00847375126302
"650",650,0
"651",651,29.6343119375309
"652",652,7.15575703865718
"653",653,160.902751046681
"654",654,134.238707303833
"655",655,167.11255638544
"656",656,102.338268815889
"657",657,114.383541748146
"658",658,81.238870285111
"659",659,144.226424419535
"660",660,138.816425145062
"661",661,120.222911644182
"662",662,63.5550285755528
"663",663,177.510782368851
"664",664,68.0815983786061
"665",665,13.202393522016
"666",666,56.4562118380719
"667",667,28.677265661156
"668",668,95.4180163245127
"669",669,122.740906664856
"670",670,79.5159367318977
"671",671,27.2023248560547
"672",672,166.803519036114
"673",673,271.511517343972
"674",674,150.188700800916
"675",675,31.8633540491643
"676",676,57.3654831941919
"677",677,93.0113322571645
"678",678,339.636890819282
"679",679,949.424126427928
"680",680,238.681161696736
"681",681,31.8170388082601
"682",682,141.871493389322
"683",683,137.051089422655
"684",684,116.965678854743
"685",685,74.6590665813457
"686",686,47.5659870366835
"687",687,49.0344895057989
"688",688,257.763100918137
"689",689,223.403415046845
"690",690,195.707092380553
"691",691,164.577668475924
"692",692,65.7598990084128
"693",693,163.197530700134
"694",694,223.535744387655
"695",695,219.70321706022
"696",696,205.214842490629
"697",697,67.8432728303596
"698",698,82.6611751901123
"699",699,165.268549531777
"700",700,256.897739472414
"701",701,221.511885138259
"702",702,285.302739977208
"703",703,430.107710042057
"704",704,48.1271276734329
"705",705,384.769764686711
"706",706,0
"707",707,0
"708",708,57.507383329838
"709",709,19.3159439384465
"710",710,38.160031959976
"711",711,67.8545421937721
